TimeWindow  Iteration  ResRel(Pressure)  
     7      12   1.34884819e-02  
     7      13   2.30115997e-02  
     7      14   2.63060706e-02  
     7      15   1.10483478e-01  
     7      16   3.59308661e-02  
     7      17   7.51356815e-03  
     7      18   1.10610832e-02  
     7      19   5.83374885e-02  
     7      20   3.25163355e-02  
     7      21   4.34461507e-03  
     7      22   1.58191714e-02  
     7      23   2.49820789e-02  
     7      24   5.05856678e-02  
     7      25   3.99561079e-02  
     7      26   4.02287470e-02  
     7      27   1.97474693e-02  
     7      28   1.72857297e-02  
     7      29   6.92329215e-02  
     7      30   2.26654986e-02  
     7      31   1.55007683e-02  
     7      32   1.47389364e-02  
     7      33   1.80010552e-02  
     7      34   1.86173877e-02  
     7      35   1.95191248e-01  
     7      36   2.44665078e-02  
     7      37   9.77529530e-03  
     7      38   4.17893207e-03  
     7      39   5.52719535e-03  
     7      40   3.74823152e-02  
     7      41   2.36988667e-02  
     7      42   8.15080595e-03  
     7      43   1.34128194e-02  
     7      44   1.71053063e-02  
     7      45   5.22778139e-02  
     7      46   2.54936960e-02  
     7      47   1.06578985e-03  
     7      48   9.60686791e-03  
     7      49   2.11138986e-02  
     7      50   2.77366894e-02  
     7      51   4.92525941e-02  
     7      52   3.13081392e-02  
     7      53   6.33328213e-03  
     7      54   1.09908834e-02  
     7      55   1.52476835e-02  
     7      56   4.14957757e-02  
     7      57   2.34712422e-02  
     7      58   1.79193313e-03  
     7      59   9.30928976e-03  
     7      60   1.67908687e-02  
     7      61   2.76111796e-02  
     7      62   3.02661669e-02  
     7      63   6.58574254e-02  
     7      64   2.41345217e-02  
     7      65   3.52469381e-03  
     7      66   6.90623174e-03  
     7      67   2.37312383e-02  
     7      68   1.97715565e-02  
     7      69   2.24079106e-02  
     7      70   1.23167281e-02  
     7      71   1.07980676e-02  
     7      72   5.60446799e-03  
     7      73   3.24717774e-03  
     7      74   3.48453137e-03  
     7      75   1.24406187e-02  
     7      76   1.81158419e-02  
     7      77   3.03441124e-02  
     7      78   2.54732829e-02  
     7      79   1.99827326e-02  
     7      80   1.05893211e-02  
     7      81   9.82008872e-03  
     7      82   6.70639812e-03  
     7      83   6.03331088e-03  
     7      84   5.57128519e-03  
     7      85   1.40045420e-02  
     7      86   1.88653720e-02  
     7      87   3.21395856e-02  
     7      88   2.33455981e-02  
     7      89   1.18084802e-02  
     7      90   9.03614592e-03  
     7      91   9.63615107e-03  
     7      92   9.06177199e-02  
     7      93   1.39926235e-02  
     7      94   5.37526138e-03  
     7      95   2.70969184e-03  
     7      96   5.91615333e-03  
     7      97   1.34266100e-02  
     7      98   1.72102817e-02  
     7      99   2.82227883e-02  
     7     100   1.76243917e-02  
     8       1   1.78715989e+00  
     8       2   6.59819946e-01  
     8       3   2.12722145e-01  
     8       4   2.04953071e-02  
     8       5   1.78449481e-02  
     8       6   1.06305092e-01  
     8       7   2.90829193e-02  
     8       8   1.87296129e-02  
     8       9   1.35017906e-02  
     8      10   2.12369051e-02  
     8      11   2.36219611e-02  
     8      12   1.34942932e-01  
     8      13   3.13877618e-02  
     8      14   9.64392440e-03  
     8      15   7.65372404e-03  
     8      16   5.94109503e-03  
     8      17   1.76246258e-02  
     8      18   2.30905240e-02  
     8      19   2.04169334e-02  
     8      20   6.82643779e-02  
     8      21   2.24242416e-02  
     8      22   1.55680777e-02  
     8      23   1.68628667e-02  
     8      24   1.84991260e-02  
     8      25   1.82758418e-02  
     8      26   1.80477581e-02  
     8      27   8.15280829e+00  
     8      28   2.30182157e-02  
     8      29   1.14088994e-02  
     8      30   3.75499233e-04  
     8      31   1.07107522e-02  
     8      32   2.23290197e-02  
     8      33   3.13441920e-02  
     8      34   4.67689472e-02  
     8      35   3.99860477e-02  
     8      36   4.79239923e-02  
     8      37   1.59724541e-02  
     8      38   1.27815119e-02  
     8      39   2.32393528e-02  
     8      40   1.64271864e-02  
     8      41   1.40232299e-02  
     8      42   3.64058526e-02  
     8      43   1.66619932e-02  
     8      44   1.25737771e-02  
     8      45   2.08351675e-02  
     8      46   1.52046867e-02  
     8      47   1.31808483e-02  
     8      48   5.49936730e-02  
     8      49   1.63900014e-02  
     8      50   1.10458623e-02  
     8      51   1.00038258e-02  
     8      52   1.31057323e-02  
     8      53   1.35443412e-02  
     8      54   5.61650917e-02  
     8      55   1.97473049e-02  
     8      56   3.78487624e-03  
     8      57   6.48641592e-03  
     8      58   2.64024403e-02  
     8      59   1.90792859e-02  
     8      60   1.22771719e-02  
     8      61   1.12474704e-02  
     8      62   1.17998091e-02  
     8      63   4.63307884e-02  
     8      64   1.83280094e-02  
     8      65   2.85516701e-03  
     8      66   6.22704011e-03  
     8      67   2.03869059e-02  
     8      68   1.84085528e-02  
     8      69   6.83172146e-02  
     8      70   1.33035220e-02  
     8      71   8.58605706e-03  
     8      72   3.76723771e-04  
     8      73   8.30224747e-03  
     8      74   1.38826344e-02  
     8      75   2.44811757e-02  
     8      76   2.29443059e-02  
     8      77   6.98554264e-02  
     8      78   1.22269489e-02  
     8      79   7.89340447e-03  
     8      80   2.94812398e-03  
     8      81   8.61786542e-03  
     8      82   1.17883427e-02  
     8      83   3.04774859e-02  
     8      84   1.71549895e-02  
     8      85   1.71603912e-03  
     8      86   7.02800108e-03  
     8      87   1.16967707e-02  
     8      88   2.24154193e-02  
     8      89   1.95213041e-02  
     8      90   3.51606536e-02  
     8      91   1.03375278e-02  
     8      92   7.58943253e-03  
     8      93   6.87415729e-03  
     8      94   9.13627927e-03  
     8      95   9.47634150e-03  
     8      96   1.47971118e-02  
     8      97   2.26503838e-02  
     8      98   1.92908217e-02  
     8      99   6.28199586e-04  
     8     100   5.97524068e-03  
     9       1   1.52446073e+00  
     9       2   1.69560166e+00  
     9       3   1.46329257e+00  
     9       4   7.94475295e-02  
     9       5   1.46923948e-02  
     9       6   1.59419649e-02  
     9       7   6.41049576e-02  
     9       8   3.10051745e-02  
     9       9   4.98758826e-04  
     9      10   1.27320004e-02  
